timestamp, x, y, width, 
28.480000, 1256, 425, 1403, 
28.520000, 626, 299, 1394, 
28.560000, 1518, 537, 1264, 
28.600000, 1583, 550, 1264, 
28.640000, 558, 337, 1264, 
28.680000, 1559, 546, 1264, 
28.720000, 1016, 438, 1255, 
28.760000, 772, 387, 1255, 
28.800000, 1152, 466, 1255, 
28.840000, 670, 366, 1255, 
28.880000, 1149, 466, 1255, 
28.920000, 1000, 445, 1234, 
28.960000, 1391, 526, 1234, 
29.000000, 1332, 544, 880, 
29.040000, 922, 464, 937, 
29.080000, 936, 457, 868, 
29.120000, 1098, 516, 951, 
29.160000, 517, 395, 951, 
29.200000, 562, 404, 951, 
29.240000, 987, 466, 872, 
29.280000, 815, 440, 844, 
29.320000, 267, 313, 867, 
29.360000, 1251, 533, 843, 
29.400000, 578, 392, 837, 
29.440000, 414, 356, 830, 
29.480000, 707, 432, 830, 
29.520000, 627, 402, 829, 
29.560000, 453, 378, 829, 
29.600000, 883, 467, 829, 
29.640000, 843, 457, 829, 
29.680000, 608, 409, 829, 
29.720000, 401, 366, 829, 
29.760000, 900, 469, 829, 
29.800000, 469, 379, 829, 
29.840000, 331, 351, 829, 
29.880000, 956, 481, 829, 
29.920000, 377, 359, 829, 
29.960000, 863, 462, 829, 
30.000000, 92, 300, 829, 
30.040000, 1045, 499, 829, 
30.080000, 1051, 500, 829, 
30.120000, 810, 438, 829, 
30.160000, 486, 371, 829, 
30.200000, 885, 454, 829, 
30.240000, 724, 418, 829, 
30.280000, 1094, 495, 829, 
30.320000, 404, 350, 829, 
30.360000, 411, 351, 829, 
30.400000, 200, 307, 829, 
30.440000, 710, 411, 829, 
30.480000, 1143, 501, 829, 
30.520000, 820, 432, 829, 
30.560000, 727, 413, 829, 
30.600000, 1062, 483, 829, 
30.640000, 1220, 516, 829, 
30.680000, 966, 462, 829, 
30.720000, 512, 366, 829, 
30.760000, 530, 370, 829, 
30.800000, 166, 293, 829, 
30.840000, 145, 287, 829, 
30.880000, 123, 283, 829, 
30.920000, 679, 395, 829, 
30.960000, 461, 345, 829, 
31.000000, 951, 437, 829, 
31.040000, 1090, 458, 829, 
31.080000, 730, 377, 829, 
31.120000, 684, 361, 829, 
31.160000, 236, 262, 829, 
31.200000, 366, 283, 829, 
31.240000, 703, 350, 829, 
31.280000, 1209, 450, 829, 
31.320000, 193, 234, 829, 
31.360000, 241, 244, 829, 
31.400000, 426, 282, 829, 
31.440000, 963, 394, 829, 
31.480000, 848, 370, 829, 
31.520000, 248, 244, 829, 
31.560000, 1249, 452, 829, 
31.600000, 1141, 430, 829, 
31.640000, 333, 261, 829, 
31.680000, 690, 336, 829, 
31.720000, 1014, 401, 829, 
31.760000, 1145, 370, 829, 
31.800000, 258, 182, 829, 
31.840000, 916, 317, 829, 
31.880000, 1098, 353, 829, 
31.920000, 1114, 352, 829, 
31.960000, 1320, 393, 829, 
32.000000, 369, 192, 829, 
32.040000, 1165, 354, 829, 
